epid,firstname,lastname,active,start,end,birthdate,country,gender,eugroup,party,email,twitter,term,voteid
257135,Valentina,PALMISANO,1,2024-07-16,,1983-01-24,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257133,Pasquale,TRIDICO,1,2024-07-16,,1975-09-21,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257132,Ignazio Roberto,MARINO,1,2024-07-16,,1955-03-10,it,,Greens/EFA,Independent,,,10,
257131,Anna Maria,CISINT,1,2024-07-16,,,it,,Patriots,Lega,,,10,
257130,Cristina,GUARDA,1,2024-07-16,,1990-03-03,it,,Greens/EFA,Europa Verde - Verdi,,,10,
257129,Mimmo,LUCANO,1,2024-07-16,,1954-05-31,it,,GUE/NGL,Alleanza Verdi e Sinistra,,,10,
257128,Giusi,PRINCI,1,2024-07-16,,1972-09-27,it,,EPP,Forza Italia,,,10,
257127,Ilaria,SALIS,1,2024-07-16,,,it,,GUE/NGL,Alleanza Verdi e Sinistra,,,10,
257126,Gaetano,PEDULLA',1,2024-07-16,,1967-01-05,it,,GUE/NGL,Movimento 5 Stelle,,,10,
257125,Roberto,VANNACCI,1,2024-07-16,,1968-10-20,it,,Patriots,Lega,,,10,
257124,Giuseppe,LUPO,1,2024-07-16,,1966-03-18,it,,S&D,Partito Democratico,,,10,
257123,Lucia,ANNUNZIATA,1,2024-07-16,,1950-08-08,it,,S&D,Partito Democratico,,,10,
257122,Antonio,DECARO,1,2024-07-16,,1970-07-17,it,,S&D,Partito Democratico,,,10,
257121,Matteo,RICCI,1,2024-07-16,,1974-07-18,it,,S&D,Partito Democratico,,,10,
257120,Diana,IOVANOVICI ŞOŞOACĂ,1,2024-07-16,,1975-11-13,ro,,NA,S.O.S. România,,,10,
257119,Şerban-Dimitrie,STURDZA,1,2024-07-16,,1967-03-30,ro,,ECR,Alianța pentru Unirea Românilor,,,10,
257118,Luis-Vicențiu,LAZARUS,1,2024-07-16,,1967-03-12,ro,,NA,S.O.S. România,,,10,
257117,Adrian-George,AXINIA,1,2024-07-16,,1977-10-18,ro,,ECR,Alianța pentru Unirea Românilor,,,10,
257116,Georgiana,TEODORESCU,1,2024-07-16,,1985-08-19,ro,,ECR,Alianța pentru Unirea Românilor,,,10,
257115,Gheorghe,PIPEREA,1,2024-07-16,,1970-03-01,ro,,ECR,Alianța pentru Unirea Românilor,,,10,
257114,Claudiu-Richard,TÂRZIU,1,2024-07-16,,1973-02-20,ro,,ECR,Alianța pentru Unirea Românilor,,,10,
257113,Antonella,SBERNA,1,2024-07-16,,1982-01-11,it,,ECR,FRATELLI D' ITALIA,,,10,
257112,Vlad,VASILE-VOICULESCU,1,2024-07-16,,1983-09-06,ro,,Renew,Uniunea Salvați România,,,10,
257111,Dario,NARDELLA,1,2024-07-16,,1975-11-20,it,,S&D,Partito Democratico,,,10,
257110,Dan,BARNA,1,2024-07-16,,1975-07-10,ro,,Renew,Uniunea Salvați România,,,10,
257109,Marco,SQUARTA,1,2024-07-16,,1979-06-04,it,,ECR,FRATELLI D' ITALIA,,,10,
257108,Stefano,BONACCINI,1,2024-07-16,,1967-01-01,it,,S&D,Partito Democratico,,,10,
257107,Virgil-Daniel,POPESCU,1,2024-07-16,,1968-04-25,ro,,EPP,Partidul Naţional Liberal,,,10,
257106,Alessandro,ZAN,1,2024-07-16,,1973-10-04,it,,S&D,Partito Democratico,,,10,
257105,Roxana,MÎNZATU,1,2024-07-16,,1980-04-01,ro,,S&D,Partidul Social Democrat,,,10,
257104,Ruggero,RAZZA,1,2024-07-16,,1980-09-23,it,,ECR,FRATELLI D' ITALIA,,,10,
257103,Ştefan,MUŞOIU,1,2024-07-16,,1975-06-16,ro,,S&D,Partidul Social Democrat,,,10,
257102,Giorgio,GORI,1,2024-07-16,,1960-03-24,it,,S&D,Partito Democratico,,,10,
257101,Cecilia,STRADA,1,2024-07-16,,1979-03-12,it,,S&D,Partito Democratico,,,10,
257100,Gheorghe,CÂRCIU,1,2024-07-16,,1973-04-14,ro,,S&D,Partidul Social Democrat,,,10,
257099,Francesco,VENTOLA,1,2024-07-16,,1971-05-12,it,,ECR,FRATELLI D' ITALIA,,,10,
257098,Gabriela,FIREA,1,2024-07-16,,1972-07-13,ro,,S&D,Partidul Social Democrat,,,10,
257097,Alberico,GAMBINO,1,2024-07-16,,1967-12-07,it,,ECR,FRATELLI D' ITALIA,,,10,
257096,Stefano,CAVEDAGNA,1,2024-07-16,,1989-12-09,it,,ECR,FRATELLI D' ITALIA,,,10,
257095,Elena,DONAZZAN,1,2024-07-16,,1972-06-22,it,,ECR,FRATELLI D' ITALIA,,,10,
257094,Giovanni,CROSETTO,1,2024-07-16,,1990-08-12,it,,ECR,FRATELLI D' ITALIA,,,10,
257093,Carlo,CICCIOLI,1,2024-07-16,,1952-11-19,it,,ECR,FRATELLI D' ITALIA,,,10,
257092,Hanna,GEDIN,1,2024-07-16,,1978-03-11,se,,GUE/NGL,Vänsterpartiet,,,10,
257091,Dick,ERIXON,1,2024-07-16,,,se,,ECR,Sverigedemokraterna,,,10,
257090,Beatrice,TIMGREN,1,2024-07-16,,1989-05-12,se,,ECR,Sverigedemokraterna,,,10,
257089,Alice,TEODORESCU MÅWE,1,2024-07-16,,1984-05-02,se,,EPP,Kristdemokraterna,,,10,
257088,Sofie,ERIKSSON,1,2024-07-16,,1992-12-13,se,,S&D,Arbetarepartiet- Socialdemokraterna,,,10,
257087,Adnan,DIBRANI,1,2024-07-16,,1985-02-12,se,,S&D,Arbetarepartiet- Socialdemokraterna,,,10,
257086,Jacek,OZDOBA,1,2024-07-16,,1991-09-22,pl,,ECR,Sovereign Poland,,,10,
257085,Krzysztof,ŚMISZEK,1,2024-07-16,,1979-08-25,pl,,S&D,Nowa Lewica,,,10,
257084,Joanna,SCHEURING-WIELGUS,1,2024-07-16,,1972-02-08,pl,,S&D,Nowa Lewica,,,10,
257083,João,OLIVEIRA,1,2024-07-16,,1979-07-09,pt,,GUE/NGL,Partido Comunista Português,,,10,
257082,Jagna,MARCZUŁAJTIS-WALCZAK,1,2024-07-16,,1978-12-15,pl,,EPP,Platforma Obywatelska,,,10,
257081,Sebastião,BUGALHO,1,2024-07-16,,,pt,,EPP,Independent,,,10,
257080,Piotr,MÜLLER,1,2024-07-16,,1989-05-02,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257079,Sérgio,GONÇALVES,1,2024-07-16,,1979-04-07,pt,,S&D,Partido Socialista,,,10,
257078,Paulo,CUNHA,1,2024-07-16,,1971-08-22,pt,,EPP,Partido Social Democrata,,,10,
257077,Marlena,MALĄG,1,2024-07-16,,1964-11-02,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257076,Michał,DWORCZYK,1,2024-07-16,,1975-07-22,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257075,Isilda,GOMES,1,2024-07-16,,1951-09-16,pt,,S&D,Partido Socialista,,,10,
257073,Tobiasz,BOCHEŃSKI,1,2024-07-16,,1987-12-15,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257072,Tomasz,BUCZEK,1,2024-07-16,,1986-04-24,pl,,Patriots,Konfederacja Wolność i Niepodległość,,,10,
257071,Carla,TAVARES,1,2024-07-16,,1970-08-15,pt,,S&D,Partido Socialista,,,10,
257070,Marcin,SYPNIEWSKI,1,2024-07-16,,1979-01-30,pl,,ESN,Konfederacja Wolność i Niepodległość,,,10,
257069,Ewa,ZAJĄCZKOWSKA-HERNIK,1,2024-07-16,,1990-01-20,pl,,ESN,Konfederacja Wolność i Niepodległość,,,10,
257068,Hélder,SOUSA SILVA,1,2024-07-16,,1965-07-21,pt,,EPP,Partido Social Democrata,,,10,
257067,Grzegorz,BRAUN,1,2024-07-02,,1967-03-11,pl,,NA,Konfederacja Korony Polskiej,,,10,7632
257066,André,RODRIGUES,1,2024-07-16,,1977-02-12,pt,,S&D,Partido Socialista,,,10,
257065,Sérgio,HUMBERTO,1,2024-07-16,,1975-11-07,pt,,EPP,Aliança Democrática,,,10,
257064,Anna,BRYŁKA,1,2024-07-16,,1990-09-01,pl,,Patriots,Konfederacja Wolność i Niepodległość,,,10,
257063,Catarina,MARTINS,1,2024-07-16,,1973-09-07,pt,,GUE/NGL,Bloco de Esquerda,,,10,
257062,Stanisław,TYSZKA,1,2024-07-16,,1979-04-11,pl,,ESN,Konfederacja Wolność i Niepodległość,,,10,
257061,Ana,VASCONCELOS,1,2024-07-16,,1985-03-14,pt,,Renew,Iniciativa Liberal,,,10,
257060,Arkadiusz,MULARCZYK,1,2024-07-16,,1971-02-04,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257059,Bruno,GONÇALVES,1,2024-07-16,,1996-12-27,pt,,S&D,Partido Socialista,,,10,
257058,Daniel,OBAJTEK,1,2024-07-16,,1976-01-02,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257057,João,COTRIM DE FIGUEIREDO,1,2024-07-16,,1961-06-24,pt,,Renew,Iniciativa Liberal,,,10,
257056,Mariusz,KAMIŃSKI,1,2024-07-16,,1965-09-25,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257055,Małgorzata,GOSIEWSKA,1,2024-07-16,,1966-07-22,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257054,Tiago,MOREIRA DE SÁ,1,2024-07-16,,1971-01-12,pt,,Patriots,Chega,,,10,
257053,Ana Catarina,MENDES,1,2024-07-16,,1973-01-14,pt,,S&D,Partido Socialista,,,10,
257052,Maciej,WĄSIK,1,2024-07-16,,1969-10-16,pl,,ECR,Prawo i Sprawiedliwość,,,10,
257051,Andrzej,BUŁA,1,2024-07-16,,1965-08-28,pl,,EPP,Platforma Obywatelska,,,10,
257050,António,TÂNGER CORRÊA,1,2024-07-16,,1952-04-24,pt,,Patriots,Chega,,,10,
257049,Mirosława,NYKIEL,1,2024-07-16,,1953-09-23,pl,,EPP,Platforma Obywatelska,,,10,
257048,Paulo,DO NASCIMENTO CABRAL,1,2024-07-16,,1981-08-20,pt,,EPP,Aliança Democrática,,,10,
257047,Borys,BUDKA,1,2024-07-16,,1978-03-11,pl,,EPP,Platforma Obywatelska,,,10,
257046,Marta,WCISŁO,1,2024-07-16,,1969-02-26,pl,,EPP,Platforma Obywatelska,,,10,
257045,Michał,WAWRYKIEWICZ,1,2024-07-16,,1971-05-11,pl,,EPP,Independent,,,10,
257044,Rasmus,NORDQVIST,1,2024-07-16,,1975-07-18,dk,,Greens/EFA,Socialistisk Folkeparti,,,10,
257043,Maravillas,ABADÍA JOVER,1,2024-07-16,,1981-12-08,es,,EPP,Partido Popular,,,10,
257042,Marcin,KIERWIŃSKI,1,2024-07-16,2024-09-25,,pl,,EPP,Platforma Obywatelska,,,10,
257041,Jacek,PROTAS,1,2024-07-16,,1964-01-15,pl,,EPP,Platforma Obywatelska,,,10,
257040,Nicolás,PASCUAL DE LA PARTE,1,2024-07-16,,1959-04-21,es,,EPP,Partido Popular,,,10,
257039,Elena,NEVADO DEL CAMPO,1,2024-07-16,,1967-01-26,es,,EPP,Partido Popular,,,10,
257038,Sigrid,FRIIS,1,2024-07-16,,1994-10-20,dk,,Renew,Det Radikale Venstre,,,10,
257037,Michał,KOBOSKO,1,2024-07-16,,1968-04-15,pl,,Renew,Polska 2050,,,10,
257035,Alma,EZCURRA ALMANSA,1,2024-07-16,,1986-12-11,es,,EPP,Partido Popular,,,10,
257034,Carmen,CRESPO DÍAZ,1,2024-07-16,,1966-12-08,es,,EPP,Partido Popular,,,10,
257033,Niels Flemming,HANSEN,1,2024-07-16,,1974-05-16,dk,,EPP,Det Konservative Folkeparti,,,10,
257032,Kamila,GASIUK-PIHOWICZ,1,2024-07-16,,1983-05-08,pl,,EPP,Platforma Obywatelska,,,10,
257031,Dariusz,JOŃSKI,1,2024-07-16,,1979-01-12,pl,,EPP,Inicjatywa Polska,,,10,
257030,Raúl,DE LA HOZ QUINTANO,1,2024-07-16,,1973-05-04,es,,EPP,Partido Popular,,,10,
257029,Jorge,MARTÍN FRÍAS,1,2024-07-16,,1980-04-08,es,,Patriots,VOX,,,10,
257028,Henrik,DAHL,1,2024-07-16,,1960-02-20,dk,,EPP,Liberal Alliance,,,10,
257027,Fernando,NAVARRETE ROJAS,1,2024-07-16,,1976-01-24,es,,EPP,Partido Popular,,,10,
257026,Michał,SZCZERBA,1,2024-07-16,,1977-12-14,pl,,EPP,Platforma Obywatelska,,,10,
257025,Kristoffer,STORM,1,2024-07-16,,1989-01-26,dk,,ECR,Danmarksdemokraterne,,,10,
257024,Mireia,BORRÁS PABÓN,1,2024-07-16,,1986-10-14,es,,Patriots,VOX,,,10,
257023,Per,CLAUSEN,1,2024-07-16,,1955-02-20,dk,,GUE/NGL,Enhedslisten,,,10,
257022,Nora,JUNCO GARCÍA,1,2024-07-16,,,es,,NA,Se Acabó la Fiesta,,,10,
257021,Diego,SOLIER,1,2024-07-16,,1980-04-26,es,,NA,Se Acabó la Fiesta,,,10,
257020,Stine,BOSSE,1,2024-07-16,,1960-12-21,dk,,Renew,Moderaterne,,,10,
257019,Alvise,PÉREZ,1,2024-07-16,,1990-02-26,es,,NA,Se Acabó la Fiesta,,,10,
257018,Branislav,ONDRUŠ,1,2024-07-16,,1973-03-28,sk,,NA,Hlas – sociálna demokracia,,,10,
257016,Vicent,MARZÀ IBÁÑEZ,1,2024-07-16,,1983-03-03,es,,Greens/EFA,Compromís,,,10,
257015,Jaume,ASENS LLODRÀ,1,2024-07-16,,1972-03-29,es,,Greens/EFA,Movimiento Sumar,,,10,
257014,Veronika,CIFROVÁ OSTRIHOŇOVÁ,1,2024-07-17,,1989-02-03,sk,,Renew,Progresívne Slovensko,,,10,
257013,Ľubica,KARVAŠOVÁ,1,2024-07-16,,,sk,,Renew,Progresívne Slovensko,,,10,
257012,Estrella,GALÁN,1,2024-07-16,,1971-04-24,es,,GUE/NGL,Movimiento Sumar,,,10,
257011,Lucia,YAR,1,2024-07-16,,1987-05-15,sk,,Renew,Progresívne Slovensko,,,10,
257010,Ľudovít,ÓDOR,1,2024-07-16,,1976-07-02,sk,,Renew,Progresívne Slovensko,,,10,
257009,Isabel,SERRA SÁNCHEZ,1,2024-07-16,,1989-08-15,es,,GUE/NGL,PODEMOS,,,10,
257007,Erik,KALIŇÁK,1,2024-07-16,,1991-09-09,sk,,NA,SMER-Sociálna demokracia,,,10,
257005,Ľuboš,BLAHA,1,2024-07-02,,1979-12-07,sk,,NA,SMER-Sociálna demokracia,,,10,7566
257003,Jeannette,BALJEU,1,2024-07-16,,1967-08-07,nl,,Renew,Volkspartij voor Vrijheid en Democratie,,,10,
257002,José,CEPEDA,1,2024-07-16,,1968-07-19,es,,S&D,Partido Socialista Obrero Español,,,10,
257001,Elena,SANCHO MURILLO,1,2024-07-16,,1989-01-26,es,,S&D,Partido Socialista Obrero Español,,,10,
257000,Stephen Nikola,BARTULICA,1,2024-09-28,,,hr,,ECR,Dom i nacionalno okupljanje,,,10,
256999,Rosa,SERRANO SIERRA,1,2024-07-16,,1969-11-11,es,,S&D,Partido Socialista Obrero Español,,,10,
256998,Rachel,BLOM,1,2024-07-16,,1987-10-07,nl,,Patriots,Partij voor de Vrijheid,,,10,
256997,Sandra,GÓMEZ LÓPEZ,1,2024-07-16,,1985-07-23,es,,S&D,Partido Socialista Obrero Español,,,10,
256996,Sebastian,KRUIS,1,2024-07-16,,1989-08-04,nl,,Patriots,Partij voor de Vrijheid,,,10,
256995,Gordan,BOSANAC,1,2024-07-16,,1973-09-18,hr,,Greens/EFA,Možemo!,,,10,
256994,Idoia,MENDIA,1,2024-07-16,,1965-10-27,es,,S&D,Partido Socialista Obrero Español,,,10,
256993,Leire,PAJÍN,1,2024-07-16,,1976-09-16,es,,S&D,Partido Socialista Obrero Español,,,10,
256992,Hana,JALLOUL MURO,1,2024-07-16,,1978-04-08,es,,S&D,Partido Socialista Obrero Español,,,10,
256991,Sebastiaan,STÖTELER,1,2024-07-16,,1983-11-18,nl,,Patriots,Partij voor de Vrijheid,,,10,
256990,Anna,STROLENBERG,1,2024-07-16,,1995-07-23,nl,,Greens/EFA,Volt,,,10,
256989,Fidias,PANAYIOTOU,1,2024-07-16,,2000-04-10,cy,,NA,Independent,,,10,
256987,Oihane,AGIRREGOITIA MARTÍNEZ,1,2024-07-16,,1980-04-18,es,,Renew,Partido Nacionalista Vasco,,,10,
256986,Geadis,GEADI,1,2024-07-16,,1984-08-30,cy,,ECR,Εθνικό Λαϊκό Μέτωπο,,,10,
256985,Michalis,HADJIPANTELA,1,2024-07-16,,1974-05-25,cy,,EPP,Democratic Rally,,,10,
256983,Jessika,VAN LEEUWEN,1,2024-07-16,,1981-09-10,nl,,EPP,BoerBurgerBeweging,,,10,
256981,Ton,DIEPEVEEN,1,2024-07-16,,1957-08-27,nl,,Patriots,Partij voor de Vrijheid,,,10,
256980,Alexandra,MEHNERT,1,2024-07-16,,1974-08-06,de,,EPP,Christlich Demokratische Union Deutschlands,,,10,
256979,Oliver,SCHENK,1,2024-07-16,,1968-08-14,de,,EPP,Christlich Demokratische Union Deutschlands,,,10,
256978,Reinier,VAN LANSCHOT,1,2024-07-16,,1989-12-07,nl,,Greens/EFA,Volt,,,10,
256977,Andrea,WECHSLER,1,2024-07-16,,1977-06-19,de,,EPP,Christlich Demokratische Union Deutschlands,,,10,
256976,Brigitte,VAN DEN BERG,1,2024-07-16,,1989-03-22,nl,,Renew,Democraten 66,,,10,
256974,Verena,MERTENS,1,2024-07-16,,1981-11-20,de,,EPP,Christlich Demokratische Union Deutschlands,,,10,
256973,Stefan,KÖHLER,1,2024-07-16,,1967-09-24,de,,EPP,Christlich-Soziale Union in Bayern e.V.,,,10,
256971,Lukas,SIEPER,1,2024-07-16,,1997-03-22,de,,NA,Partei des Fortschritts,,,10,
256970,Raquel,GARCÍA HERMIDA-VAN DER WALLE,1,2024-07-16,,1983-05-28,nl,,Renew,Democraten 66,,,10,
256969,Friedrich,PÜRNER,1,2024-07-16,,1967-04-24,de,,NA,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,,,10,
256968,Ingeborg,TER LAAK,1,2024-07-16,,1973-02-18,nl,,EPP,Christen Democratisch Appèl,,,10,
256967,Jan-Peter,WARNKE,1,2024-07-16,,,de,,NA,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,,,10,
256966,Michael,VON DER SCHULENBURG,1,2024-07-16,,1948-10-16,de,,NA,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,,,10,
256965,Kai,TEGETHOFF,1,2024-07-16,,1984-07-19,de,,Greens/EFA,Volt,,,10,
256964,Nela,RIEHL,1,2024-07-16,,1985-09-11,de,,Greens/EFA,Volt,,,10,
256962,Joachim,STREIT,1,2024-07-16,,1965-06-04,de,,Renew,Freie Wähler,,,10,
256961,Sebastian,EVERDING,1,2024-07-16,,,de,,GUE/NGL,Partei Mensch Umwelt Tierschutz,,,10,
256960,Sibylle,BERG,1,2024-07-16,,,de,,NA,Die PARTEI,,,10,
256959,Alexander,SELL,1,2024-07-16,,1980-11-25,de,,ESN,Alternative für Deutschland,,,10,
256957,Mary,KHAN,1,2024-07-16,,1994-06-25,de,,ESN,Alternative für Deutschland,,,10,
256956,Galato,ALEXANDRAKI,1,2024-07-16,,1948-12-11,gr,,ECR,Elliniki Lusi-Greek Solution,,,10,
256955,Maria,ZACHARIA,1,2024-07-16,,,gr,,NA,Plefsi Eleftherias,,,10,
256954,Afroditi,LATINOPOULOU,1,2024-07-16,,,gr,,Patriots,Foní Loyikís,,,10,
256952,Nikos,PAPPAS,1,2024-07-16,,1990-07-11,gr,,GUE/NGL,Coalition of the Radical Left,,,10,
256951,Anja,ARNDT,1,2024-07-16,,1966-01-10,de,,ESN,Alternative für Deutschland,,,10,
256950,Dimitris,TSIODRAS,1,2024-07-16,,1959-10-26,gr,,EPP,Nea Demokratia,,,10,
256949,Siegbert Frank,DROESE,1,2024-07-16,,1969-06-07,de,,ESN,Alternative für Deutschland,,,10,
256948,Arno,BAUSEMER,1,2024-07-16,,1982-12-02,de,,ESN,Alternative für Deutschland,,,10,
256947,Fredis,BELERIS,1,2024-07-16,,1972-08-09,gr,,EPP,Nea Demokratia,,,10,
256946,Christine,SINGER,1,2024-07-16,,1965-07-24,de,,Renew,Freie Wähler,,,10,
256945,Irmhild,BOẞDORF,1,2024-07-16,,1967-01-14,de,,ESN,Alternative für Deutschland,,,10,
256944,Hans,NEUHOFF,1,2024-07-16,,1959-01-10,de,,ESN,Alternative für Deutschland,,,10,
256943,Eleonora,MELETI,1,2024-07-16,,1978-09-17,gr,,EPP,Nea Demokratia,,,10,
256942,Marc,JONGEN,1,2024-07-16,,1968-05-23,de,,ESN,Alternative für Deutschland,,,10,
256941,Alexander,JUNGBLUTH,1,2024-07-16,,1987-02-07,de,,ESN,Alternative für Deutschland,,,10,
256939,Thomas,GEISEL,1,2024-07-16,,1963-10-26,de,,NA,Bündnis Sahra Wagenknecht – Vernunft und Gerechtigkeit,,,10,
256938,Tobias,CREMER,1,2024-07-16,,1992-06-30,de,,S&D,Sozialdemokratische Partei Deutschlands,,,10,
256937,Vivien,COSTANZO,1,2024-07-16,,1990-02-06,de,,S&D,Sozialdemokratische Partei Deutschlands,,,10,
256936,Thomas,BAJADA,1,2024-07-16,,1994-06-13,mt,,S&D,Partit Laburista,,,10,
256935,Sabrina,REPP,1,2024-07-16,,1999-02-01,de,,S&D,Sozialdemokratische Partei Deutschlands,,,10,
256934,Daniel,ATTARD,1,2024-07-16,,1992-04-18,mt,,S&D,Partit Laburista,,,10,
256929,René,AUST,1,2024-07-16,,1987-04-24,de,,ESN,Alternative für Deutschland,,,10,
256928,Petr,BYSTRON,1,2024-07-16,,1972-11-30,de,,ESN,Alternative für Deutschland,,,10,
256927,Carola,RACKETE,1,2024-07-16,,1988-05-08,de,,GUE/NGL,Independent,,,10,
256926,Marie-Agnes,STRACK-ZIMMERMANN,1,2024-07-16,,1958-03-10,de,,Renew,Freie Demokratische Partei,,,10,
256925,Laurence,TROCHU,1,2024-07-16,,1973-07-04,fr,,ECR,Mouvement conservateur,,,10,
256924,Sarah,KNAFO,1,2024-07-16,,,fr,,ESN,Reconquête!,,,10,
256922,Marion,MARÉCHAL,1,2024-07-16,,1989-12-10,fr,,ECR,Indépendant,,,10,
256921,Laurent,CASTILLO,1,2024-07-16,,1962-03-12,fr,,EPP,Les Républicains,,,10,
256920,Isabelle,LE CALLENNEC,1,2024-07-16,,1966-10-14,fr,,EPP,Les Républicains,,,10,
256919,Christophe,GOMART,1,2024-07-16,,1960-06-20,fr,,EPP,Les Républicains,,,10,
256918,Céline,IMART,1,2024-07-16,,1982-08-24,fr,,EPP,Les Républicains,,,10,
256917,Majdouline,SBAI,1,2024-07-16,,,fr,,Greens/EFA,Les Écologistes,,,10,
